Serial,مسلسل
Date,التاريخ
Debit,مدين
Credit,دائن
Balance,الرصيد
Remarks,البيان
Bank Statement,كشف حساب البنك
Opening,الرصيد الافتتاحي
Total,الإجمالي
Closing (Opening + Total),الرصيد الختامي
Company,الشركة
From Date,من تاريخ
To Date,إلى تاريخ
Account,الحساب
From,من
To,إلى
Prepared By,أعده
Company Stamp,ختم الشركة
Financial Manager,المدير المالي
Statement of Changes in Equity,قائمة التغير فى حقوق الملكية
Particulars,البيان
Total Equity,إجمالى حقوق الملكية
Opening Balance,الرصيد الافتتاحي
Finance Book,الدفتر المالي
Closing Balance,الرصيد الختامي
Other,أخرى
Total:,الإجمالي:
Amount,القيمة
Credit ({0}),الدائن ({0})
Credit (Transaction),الدائن (المعاملة)
Company {0} has no internal {1} representing {2} — call to have one created so this counterpart can post.,الشركة {0} ليس بها {1} داخلي يمثل {2} — يرجى الاتصال لإنشائه حتى يتم ترحيل هذا القيد المقابل.
Inter-company counterpart will NOT be created,لن يتم إنشاء القيد المقابل بين الشركات
Inter-company counterpart skipped,تم تخطي القيد المقابل بين الشركات
Inter-company counterpart created,تم إنشاء القيد المقابل بين الشركات
Inter-company counterpart for {0} was not created: {1},لم يتم إنشاء القيد المقابل للشركة {0}: {1}
Company {0} has no Inter-company Suspense Account configured.,الشركة {0} ليس بها حساب وسيط بين الشركات معرّف.
Company {0} has no {1} configured.,الشركة {0} ليس بها {1} معرّف.
Company {0} and {1} use different currencies.,الشركة {0} والشركة {1} تستخدمان عملتين مختلفتين.
default party account,حساب الطرف الافتراضي
default cost center,مركز التكلفة الافتراضي
Inter-company counterpart of Journal Entry {0},القيد المقابل لقيد اليومية {0}
Inter-company counterpart {0} is submitted. Cancel it in {1} first.,القيد المقابل {0} مُرحّل. يجب إلغاؤه في الشركة {1} أولاً.
